County NS Code,County,2010,2015,2020,2025,2030
1383917,Kent,808,789,795,814,832
1383918,Kerr,49625,50864,52267,53632,54606
1383919,Kimble,4607,4464,4344,4177,4011
1383920,King,286,295,309,326,341
1383921,Kinney,3598,3486,3462,3435,3377
1383922,Kleberg,32061,31225,30987,30697,30486
1383923,Knox,3719,3813,3937,4072,4165
1383924,La Salle,6886,7556,8309,9175,9956
1383925,Lamar,49793,49980,50014,49710,48919
1383926,Lamb,13977,13356,12776,12166,11493
1383927,Lampasas,19677,20295,21037,21728,22291
1383928,Lavaca,19263,19818,20735,21945,23367
1383929,Lee,16612,17102,17595,18058,18394
1383930,Leon,16801,17227,17707,18203,18489
1383931,Liberty,75643,80287,85284,90458,95433
1383932,Limestone,23384,23481,23544,23532,23243
1383933,Lipscomb,3302,3459,3651,3840,3947
1383934,Live Oak,11531,11748,12030,12297,12480
1383935,Llano,19301,19348,19452,19545,19517
1383936,Loving,82,87,92,93,90
1383937,Lubbock,278831,295763,317210,341499,367552
1383938,Lynn,5915,5716,5588,5437,5283
1383939,Madison,13664,14054,14527,15094,15662
1383940,Marion,10546,10458,10294,9986,9580
1383941,Martin,4799,5367,6044,6814,7618
1383942,Mason,4012,3928,3899,3905,3848
1383943,Matagorda,36702,36932,37064,36910,36457
1383944,Maverick,54258,57107,59938,62573,64612
1383945,McCulloch,8283,8448,8660,8811,8921
1383946,McLennan,234906,243882,253066,261629,269381
1383947,McMullen,707,746,783,786,773
1383948,Medina,46006,48221,50594,53172,55703
1383949,Menard,2242,2199,2188,2156,2119
1383950,Midland,136872,158745,187364,223525,268123
1383951,Milam,24757,24634,24635,24524,24250
1383952,Mills,4936,4875,4870,4826,4744
1383953,Mitchell,9403,9622,9865,10084,10207
1383954,Montague,19719,19446,19199,18884,18298
1383955,Montgomery,455746,529079,613951,714275,831450
1383956,Moore,21904,21734,21575,21415,21340
1383957,Morris,12934,12698,12448,12099,11696
1383958,Motley,1210,1191,1172,1141,1120
1383959,Nacogdoches,64524,63548,64106,64188,63720
1383960,Navarro,47735,47908,47985,47835,47306
1383961,Newton,14445,14051,13724,13364,12873
1383962,Nolan,15216,15376,15642,15860,16018
1383963,Nueces,340223,360992,383718,407223,429517
1383964,Ochiltree,10223,10737,11309,11941,12587
1383965,Oldham,2052,2140,2200,2244,2273
1383966,Orange,81837,84037,86155,87951,89113
1383967,Palo Pinto,28111,27979,27859,27568,27031
1383968,Panola,23796,24238,24576,24874,25008
1383969,Parker,116927,125811,135621,146415,157333
1383970,Parmer,10269,9697,9200,8651,8086
1383971,Pecos,15507,16119,16533,16806,16983
1383972,Polk,45413,47077,49080,50913,52006
1383973,Potter,121073,122204,122706,122766,122281
1383974,Presidio,7818,6726,5906,5186,4466
1383975,Rains,10914,11147,11378,11541,11519
1383976,Randall,120725,128364,138104,149660,163302
1383977,Reagan,3367,3739,4226,4740,5253
1383978,Real,3309,3364,3407,3425,3373
1383979,Red River,12860,12770,12610,12339,11949
1383980,Reeves,13783,14686,15707,16806,17896
1383981,Refugio,7383,7475,7573,7645,7631
1383982,Roberts,929,955,983,1003,1022
1383983,Robertson,16622,16713,16888,16975,17002
1383984,Rockwall,78337,89731,102243,116952,134114
1383985,Runnels,10501,10726,11009,11320,11584
1383986,Rusk,53330,53046,52767,52442,51909
1383987,Sabine,10834,10372,9936,9468,8938
1383988,San Augustine,8865,8631,8405,8164,7831
1383989,San Jacinto,26384,27583,28844,30003,30940
1383990,San Patricio,64804,67868,71325,74914,78235
1383991,San Saba,6131,5945,5873,5795,5707
1383992,Schleicher,3461,3296,3312,3373,3479
1383993,Scurry,16921,17598,18368,19194,19992
1383994,Shackelford,3378,3370,3405,3453,3515
1383995,Shelby,25448,25552,25545,25334,24888
1383996,Sherman,3034,3120,3276,3394,3473
1383997,Smith,209714,222690,235143,246977,257573
1383998,Somervell,8490,8832,9294,9802,10253
1383999,Starr,60968,63044,64731,65866,66246
1384000,Stephens,9630,9589,9570,9553,9546
1384001,Sterling,1143,1199,1252,1291,1325
1384002,Stonewall,1490,1498,1523,1534,1565
1384003,Sutton,4128,4221,4381,4486,4485
1384004,Swisher,7854,7576,7414,7214,6962
1384005,Tarrant,1809034,1973526,2143755,2322418,2507170
1384006,Taylor,131506,135587,139457,143012,146145
1384007,Terrell,984,1022,1054,1059,1067
1384008,Terry,12651,12834,13040,13342,13691
1384009,Throckmorton,1641,1556,1519,1479,1425
1384010,Titus,32334,32731,32953,33015,32869
1384011,Tom Green,110224,116140,123276,130652,138225
1384012,Travis,1024266,1157447,1291502,1418330,1540812
1384013,Trinity,14585,14429,14233,13924,13525
1384014,Tyler,21766,21503,21343,21089,20748
1384015,Upshur,39309,40422,41655,42885,44000
1384016,Upton,3355,3645,3983,4331,4726
1384017,Uvalde,26405,27040,27937,29159,30342
1384018,Val Verde,48879,48649,48253,47797,47044
1384019,Van Zandt,52579,54009,55469,56870,57787
1384020,Victoria,86793,91894,97744,103519,109048
1384021,Walker,67861,70407,73997,77781,81741
1384022,Waller,43205,46782,50731,54690,59021
1384023,Ward,10658,11914,13592,15682,18162
1384024,Washington,33718,34373,35155,35760,36135
1384025,Webb,250304,262486,276183,288160,298373
1384026,Wharton,41280,41645,41941,42174,42321
1384027,Wheeler,5410,5599,5783,5923,6066
1384028,Wichita,131500,132213,133138,133222,132328
1384029,Wilbarger,13535,13266,13038,12702,12275
1384030,Willacy,22134,22166,22134,21984,21642
1384031,Williamson,422679,500485,589914,698082,830421
1384032,Wilson,42918,47206,51802,56906,62283
1384033,Winkler,7110,8062,9295,10744,12460
1384034,Wise,59127,62467,65807,69101,71909
1384035,Wood,41964,43677,45292,46665,47643
1384036,Yoakum,7879,8449,9225,10134,11102
1384037,Young,18550,18571,18712,18835,18749
1384038,Zapata,14018,14282,14409,14417,14257
1384039,Zavala,11677,12180,12682,13165,13549
