County NS Code,County,2010,2015,2020,2025,2030,2035
344784,Bacon,11062,11231,11194,11404,11846,11816
342852,Candler,11025,10873,10841,10977,11101,11160
345923,Evans,11021,10690,10677,10795,10920,11030
345041,Early,10983,10462,10119,10094,10096,10033
351252,Towns,10535,11212,12427,14589,17022,17750
351265,Wilkes,10388,9911,9667,9506,9340,9196
348102,Lanier,10104,10269,10377,10369,10402,10442
346664,Johnson,9986,9708,9556,9478,9381,9174
352302,Irwin,9577,9135,9312,9186,8999,8824
346824,Wilkinson,9529,9080,8865,8634,8424,8185
352238,Terrell,9526,9013,8482,8427,8379,8230
348209,Hancock,9433,8578,8346,8137,7872,7540
345499,Wilcox,9314,9024,8578,8517,8498,8391
352276,Montgomery,9144,8942,9204,9308,9374,9397
345456,Twiggs,8973,8347,8052,7786,7486,7097
343238,Turner,8910,7982,7929,7834,7745,7541
344156,Taylor,8777,8243,7947,7802,7611,7377
344107,Marion,8741,8558,8270,7989,7677,7285
351263,Seminole,8727,8565,8008,7877,7730,7496
345784,Atkinson,8364,8340,8102,7826,7736,7542
342985,Jenkins,8320,8899,8671,8764,8764,8649
1688000,Lincoln,7970,7722,7853,7642,7411,7056
351278,Wheeler,7769,7911,7780,7700,7640,7561
352242,Randolph,7668,7150,6643,6446,6255,6015
347505,Treutlen,6894,6803,6877,6919,7005,7057
326757,Talbot,6880,6498,6134,5928,5659,5333
351285,Clinch,6764,6826,6585,6485,6394,6252
344074,Calhoun,6697,6534,6128,6028,5953,5831
344088,Miller,6133,5848,5640,5524,5412,5322
347360,Stewart,6102,5973,6561,6493,6477,6436
347777,Warren,5782,5374,5187,5067,4951,4785
344129,Schley,5020,5209,5269,5354,5494,5612
348092,Echols,4015,4030,3993,4115,4212,4263
342832,Baker,3431,3194,3009,2961,2904,2794
344805,Clay,3177,3077,2805,2790,2777,2739
345642,Glascock,3079,3020,2945,2895,2834,2775
352287,Webster,2781,2631,2582,2515,2461,2348
350547,Quitman,2512,2275,2271,2162,2056,1909
347654,Taliaferro,1703,1642,1502,1458,1399,1329
