County NS Code,County,2010,2015,2020,2025,2030
1219777,Bristol,49864,49225,48586,47973,47360
1219778,Kent,166039,165136,164233,163646,163059
1219779,Newport,83148,83148,83147,83549,83951
1219781,Providence,627199,633566,639933,647429,654924
1219782,Washington,127087,126418,125748,125013,124277
